#,Transaction Date,Senator,Owner,Ticker,Asset Name,Asset Type,Type,Amount,Comment,URL
1,03/28/2017,"The Honorable Michael F Bennet (Bennet, Michael)",Self,RGC,Regal Entertainment Group,Stock,Sale (Partial),"$500,001 - $1,000,000",--,https://efdsearch.senate.gov/search/view/ptr/ca3a419d-76cb-45f4-b6ac-203baf908371/
2,12/08/2017,"The Honorable Michael F Bennet (Bennet, Michael)",Self,RGC,Regal Entertainment Group,Stock,Sale (Full),"$500,001 - $1,000,000",--,https://efdsearch.senate.gov/search/view/ptr/cd2add48-f2bc-42bc-acbd-d8f7b502eae1/
1,11/01/2017,"The Honorable Michael F Bennet (Bennet, Michael)",Self,"LVLT
CTL","Level 3 Communications, Inc. (Exchanged)
CenturyLink, Inc. (Received)",Stock,Exchange,"$50,001 - $100,000",Shares of CTL received as a result of merger.,https://efdsearch.senate.gov/search/view/ptr/cd2add48-f2bc-42bc-acbd-d8f7b502eae1/
1,09/27/2021,The Honorable Roy Blunt (Former Senator),Spouse,NRDY,Nerdy Inc. Class A Common Stock,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/4760c9fb-67ec-40d5-9684-094527a0226b/
2,06/06/2022,The Honorable Roy Blunt (Former Senator),Spouse,AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,Stock,Purchase,"$50,001 - $100,000",--,https://efdsearch.senate.gov/search/view/ptr/ccfb1037-7ef7-4904-a1e6-a14db7558ac6/
1,06/06/2022,The Honorable Roy Blunt (Former Senator),Spouse,--,KH,Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/ccfb1037-7ef7-4904-a1e6-a14db7558ac6/
1,11/24/2021,The Honorable Roy Blunt (Former Senator),Spouse,--,PMI,Stock,Sale (Partial),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/4ef71e79-ac98-4126-9415-66da6899ab72/
3,12/11/2015,The Honorable Roy Blunt (Former Senator),Spouse,--,CSCO,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/f24dd495-dcee-45a7-9138-a29d7c72f4f8/
2,12/04/2015,The Honorable Roy Blunt (Former Senator),Spouse,--,PM,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/f24dd495-dcee-45a7-9138-a29d7c72f4f8/
3,12/11/2015,The Honorable Roy Blunt (Former Senator),Spouse,--,CSCO,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6e941f8c-e516-4bc6-9eac-66bf491ef1a4/
2,12/04/2015,The Honorable Roy Blunt (Former Senator),Spouse,--,PM,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/6e941f8c-e516-4bc6-9eac-66bf491ef1a4/
1,11/24/2021,The Honorable Roy Blunt (Former Senator),Spouse,--,PM,Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/ffed6c7a-6f2d-43ef-bb8c-433704146f24/
1,04/28/2016,"The Honorable Maria Cantwell (Cantwell, Maria)",Self,RNWK,RealNetworks Inc.,Stock,Sale (Partial),"$1,001 - $15,000",Sale of two blocks,https://efdsearch.senate.gov/search/view/ptr/03ac42db-829c-4c48-8624-fa9dd85f1ad7/
1,12/28/2022,"The Honorable Maria Cantwell (Cantwell, Maria)",Self,RNWK,"RealNetworks, Inc. - Common Stock",Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/5d41d5a8-eb5b-4092-aae1-99a26f4932f2/
4,12/12/2018,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,GIS,"General Mills, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/ac9882e2-ebad-4128-93f6-d8ea9427314d/
3,12/13/2018,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,PG,The Procter & Gamble Company,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/ac9882e2-ebad-4128-93f6-d8ea9427314d/
2,12/13/2018,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,PEP,"PepsiCo, Inc.",Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/ac9882e2-ebad-4128-93f6-d8ea9427314d/
1,12/31/2018,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,--,General Electric Company,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/ac9882e2-ebad-4128-93f6-d8ea9427314d/
1,04/26/2021,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,WFC,Wells Fargo & Company,Stock,Sale (Partial),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/84c90822-fa5c-4230-9db0-61ead2fc469a/
9,06/16/2022,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,INTC,Intel Corporation - Common Stock,Stock,Sale (Full),"$15,001 - $50,000",--,https://efdsearch.senate.gov/search/view/ptr/3ec54964-5549-470b-bdcc-da34d2ddf5c2/
8,06/16/2022,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,F,Ford Motor Company Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/3ec54964-5549-470b-bdcc-da34d2ddf5c2/
7,06/30/2022,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,MMM,3M Company Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/3ec54964-5549-470b-bdcc-da34d2ddf5c2/
6,06/01/2022,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,CMS,CMS Energy Corporation Common Stock,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/3ec54964-5549-470b-bdcc-da34d2ddf5c2/
5,06/17/2022,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,MSFT,Microsoft Corporation - Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/3ec54964-5549-470b-bdcc-da34d2ddf5c2/
4,06/17/2022,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,IBM,International Business Machines Corporat,Stock,Sale (Partial),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/3ec54964-5549-470b-bdcc-da34d2ddf5c2/
3,06/17/2022,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,INTC,Intel Corporation - Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/3ec54964-5549-470b-bdcc-da34d2ddf5c2/
2,06/17/2022,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,KO,Coca-Cola Company (The) Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/3ec54964-5549-470b-bdcc-da34d2ddf5c2/
1,06/17/2022,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,BMY,Bristol-Myers Squibb Company Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/3ec54964-5549-470b-bdcc-da34d2ddf5c2/
3,09/25/2018,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Self,GILD,"Gilead Sciences, Inc.",Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/ae39aeb9-967e-49eb-be3d-562d7efd2159/
2,09/27/2018,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,QCOM,QUALCOMM Incorporated,Stock,Sale (Partial),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/ae39aeb9-967e-49eb-be3d-562d7efd2159/
1,09/27/2018,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,WAB,Westinghouse Air Brake Technologies Corporation,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/ae39aeb9-967e-49eb-be3d-562d7efd2159/
1,10/31/2018,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,"LIN
PX","Linde plc (Exchanged)
Praxair, Inc. (Received)",Stock,Exchange,"$1,001 - $15,000","Praxair, Inc. exchanged for Linde PLC (received) 10/31/18",https://efdsearch.senate.gov/search/view/ptr/b34c6735-9a2f-427d-811b-f4cbeff9e676/
48,09/27/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,K,Kellogg Company,Stock,Sale (Full),"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
47,09/12/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,HLT,Hilton Worldwide Holdings Inc.,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
46,09/05/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,WEC,"WEC Energy Group, Inc.",Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
45,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,V,Visa Inc.,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
44,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,VTKLY,Vtech Holdings Limited,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
43,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,TSM,Taiwan Semiconductor Manufacturing Company Limited,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
42,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,SFTBY,SoftBank Group Corp.,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
41,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,SGAPY,Singapore Telecommunications Limited,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
40,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,SSDOY,"Shiseido Company, Limited",Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
39,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,RDS-B,Royal Dutch Shell plc,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
38,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,SMECF,SMC Corporation,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
37,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,RCL,Royal Caribbean Cruises Ltd.,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
36,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,RBGLY,Reckitt Benckiser Group plc,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
35,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,PDRDY,Pernod Ricard SA,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
34,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,AVGO,Broadcom Limited,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
33,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,LRLCY,L'Oréal S.A.,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
32,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,OXY,Occidental Petroleum Corporation,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
31,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,NVO,Novo Nordisk A/S,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
30,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,MRAAY,"Murata Manufacturing Co., Ltd.",Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
29,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,NSRGY,Nestlé S.A.,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
28,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,NPSND,Naspers Limited,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
27,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,JPM,JPMorgan Chase & Co.,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
26,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,MCO,Moody's Corporation,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
25,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,LVS,Las Vegas Sands Corp.,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
24,09/08/2017,"The Honorable Shelley M Capito (Capito, Shelley Moore)",Spouse,KYCCF,Keyence Corporation,Stock,Purchase,"$1,001 - $15,000",--,https://efdsearch.senate.gov/search/view/ptr/2697b867-b20d-47be-98d3-a8d19339b36d/
